企業名,電話番号,メールアドレス,都道府県,市町村区,番地,建物名,URL,SSL証明書
新橋シャモロック酒場 新橋鶏舎,050-5484-6514,mailto:michinoku@golden-magic.com,東京都,港区新橋,3-18-8,三舘ビル1～3F,#,False
近どう 本店,050-5485-5289,,東京都,中央区月島,3-12-10,,,
清流 初つぼみ 渋谷店,050-5484-1786,,東京都,渋谷区道玄坂,1-9-5,渋谷スクエアビルA棟B1,#,False
北の味紀行と地酒  北海道 大手町店,050-5484-2962,,東京都,千代田区大手町,1-8-1,KDDI大手町ビルB1F,#,False
青草窠,050-5488-6173,,東京都,港区南麻布,4-2-34,天現寺スクエア1F,,
完全個室で鮮魚と和牛 和食処 福家‐FUKUYA‐ 新宿南口店,050-5494-6034,,東京都,新宿区西新宿,1-18-5,甲新ビル5F,,
神田 江戸ッ子寿司 南口店 彩,050-5487-5423,,東京都,千代田区鍛冶町,2-13-26,,,
海鮮屋台 おくまん 品川店,050-5485-6560,,東京都,港区高輪,3-25-29,前川ビルB1,#,False
四ッ谷 魚一商店 三栄通り店,050-5488-0628,,東京都,新宿区四谷,1-7,第三鹿倉ビルB1,,
海鮮問屋 地魚屋 三田店,050-5484-7939,,東京都,港区芝,5-34-7,田町センタービル3F,#,False
跳魚 本館,03-5783-0202,,東京都,港区港南,2-5-3,オリックス品川ビルB1,#,False
新潟・佐渡の旬と地酒 よね蔵 東京サンケイビル店,050-5488-1422,,東京都,千代田区大手町,1-7-2,東京サンケイビルB2,#,False
きづなすし 秋葉原店,050-5487-1911,,東京都,千代田区外神田,1-15-18,奥山ビル1・2F,,
お好み焼 道とん堀 稲城店,050-5492-5876,,東京都,稲城市百村,1605-5,,,
華屋与兵衛 板橋坂下店,050-5494-2782,,東京都,板橋区坂下,1-25-14,,,
匠 新八,050-5493-1708,,東京都,千代田区内神田,3-4-11,千代田共同ビル,,
寿修,050-5487-2472,,東京都,港区西麻布,2-16-1,斎田ビル1F,,
旬ｓ,050-5488-1859,mailto:info@unzen.com,東京都,千代田区丸の内,2-7-3,東京ビルＴＯＫＩＡ B1,#,False
