企業名,電話番号,メールアドレス,都道府県,市町村区,番地,建物名,URL,ssl証明書
和食日和 おさけと 大門浜松町,050-5488-3223,,東京都,港区浜松町,2-1-6,ADsis大門5F,,
魚海船団 神田司町本店,050-5484-1982,info@sendan.net,東京都,千代田区内神田,2-15-4,司ビルB1,http://www.sendan.net/,False
肉寿司＆焼き鳥 個室ダイニング 天の川 錦糸町店,050-5492-3079,,東京都,墨田区江東橋,4-20-4,エメラルドビル2F,,
肉割烹 炙り炎,050-5489-1700,,東京都,豊島区池袋,2-42-1,第三ミネオカビル4F,,
和酒と相模湾鮮魚 浜松町 わ かく田,050-5486-6351,,東京都,港区芝大門,1-15-6,2F,,
個室と鮮魚 日本橋 本陣房,050-5492-4930,,東京都,中央区日本橋,2-2-16,共立日本橋ビル,http://www.honjinbou.com/,False
ぽん多本家,050-5492-8353,,東京都,台東区上野,3-23-3,,,
諸葛カオユ～Zhu Ge Kao Yu～,050-5492-5228,,東京都,豊島区西池袋,1-36-4,SIコンソートビル5F,,
現代里山料理 ZEN HOUSE,050-5488-3014,,東京都,中央区銀座,5-11-1,ミレニアム三井ガーデンホテル東京B1,,
個室×沖縄料理 くわっちー 新宿店,050-5486-0527,,東京都,新宿区新宿,3-11-11,ダイアン新宿ビル5F,,
かいり 恵比寿店,050-5484-4197,,東京都,渋谷区恵比寿西,1-13-5,ブラッサム大六天ビル102,http://www.ebisu-kairi.com/,False
青山酒場 KOTATSU,050-5486-9041,,東京都,港区北青山,3-6-19,三和実業表参道ビルB1,,
隠れ家個室×創作和食居酒屋 彩 渋谷,050-5486-5007,,東京都,渋谷区宇田川町,30-5,JOWビル3F,,
ビアガーデンテラス 立川 焼き鳥バル IGOSSOU,050-5494-2683,,東京都,立川市錦町,1-2-1,栗原ビル3F,,
個室居酒屋 産地直送の海鮮×肉料理 粋正 ‐すいせい‐ 新橋店,050-5492-5447,,東京都,港区新橋,3-23-1,TRN新橋,,
隠れ居肴家 わびさび 新橋本店,050-5488-7184,,東京都,港区新橋,2-9-6,3F,http://www.jwa.co.jp/,True
旬の鮮魚と個室 楽の宴 神田総本店,050-5485-3802,,東京都,千代田区内神田,3-10-3,神田ロイヤルビルB1,,
創業明治27年の鳥割烹 古今亭 新橋,050-5488-8041,,東京都,港区新橋,2-9-14,,http://www5f.biglobe.ne.jp/~kokontei/,True
寿司酒場 大森 鉄,050-5484-5643,,東京都,大田区大森北,1-11-1,B1,,
炙りダイニング ろばた焼き たる平,050-5488-3895,,東京都,墨田区江東橋,3-8-7,錦糸町プラザビル4F,,
